"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "JavaScript JSX", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 33, 71
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\package-lock.json", "JSON", 0, 18064, 0, 0, 0, 0, 0, 0, 1, 18065
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\package.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\public\index.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 25, 1, 44
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\src\App.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\src\App.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 5, 64
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\src\components\common\auth\auth.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\src\components\core\auth\OpenRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\src\components\core\auth\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\BHUVAN\OneDrive\Desktop\webDev\SE\client\src\components\core\categories\categories.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
